data_set;fs_method;learner;ensemble_model_name;positive_class;expected;frequency
development;mrmr;glm;ensemble.1.1;0;0;0.539043881241829
development;mrmr;glm;ensemble.1.1;0;0.995;0.143616117525885
development;mrmr;glm;ensemble.1.1;0;1;0.317340001232286
development;mrmr;glm;ensemble.1.1;1;0;0.460956118758171
development;mrmr;glm;ensemble.1.1;1;0.59;0.0539325842696629
development;mrmr;glm;ensemble.1.1;1;0.6;0.107885987256092
development;mrmr;glm;ensemble.1.1;1;0.605;0.053781512605042
development;mrmr;glm;ensemble.1.1;1;0.61;0.108122528403741
development;mrmr;glm;ensemble.1.1;1;0.615;0.0539325842696629
development;mrmr;glm;ensemble.1.1;1;0.62;0.107604900653844
development;mrmr;glm;ensemble.1.1;1;0.63;0.0537837837837838
development;mrmr;glm;ensemble.1.1;2;0;0.460956118758171
development;mrmr;glm;ensemble.1.1;2;0.365;0.0537837837837838
development;mrmr;glm;ensemble.1.1;2;0.375;0.107604900653844
development;mrmr;glm;ensemble.1.1;2;0.38;0.0539325842696629
development;mrmr;glm;ensemble.1.1;2;0.385;0.108122528403741
development;mrmr;glm;ensemble.1.1;2;0.39;0.053781512605042
development;mrmr;glm;ensemble.1.1;2;0.395;0.107885987256092
development;mrmr;glm;ensemble.1.1;2;0.405;0.0539325842696629
validation;mrmr;glm;ensemble.1.1;0;0;0.539331161212897
validation;mrmr;glm;ensemble.1.1;0;0.995;0.143982010353253
validation;mrmr;glm;ensemble.1.1;0;1;0.316686828433851
validation;mrmr;glm;ensemble.1.1;1;0;0.460668838787103
validation;mrmr;glm;ensemble.1.1;1;0.59;0.0536585365853659
validation;mrmr;glm;ensemble.1.1;1;0.6;0.107045454545455
validation;mrmr;glm;ensemble.1.1;1;0.605;0.055
validation;mrmr;glm;ensemble.1.1;1;0.61;0.104940587867417
validation;mrmr;glm;ensemble.1.1;1;0.615;0.0536585365853659
validation;mrmr;glm;ensemble.1.1;1;0.62;0.109472490073738
validation;mrmr;glm;ensemble.1.1;1;0.63;0.0555555555555555
validation;mrmr;glm;ensemble.1.1;2;0;0.460668838787103
validation;mrmr;glm;ensemble.1.1;2;0.365;0.0555555555555555
validation;mrmr;glm;ensemble.1.1;2;0.375;0.109472490073738
validation;mrmr;glm;ensemble.1.1;2;0.38;0.0536585365853659
validation;mrmr;glm;ensemble.1.1;2;0.385;0.104940587867417
validation;mrmr;glm;ensemble.1.1;2;0.39;0.055
validation;mrmr;glm;ensemble.1.1;2;0.395;0.107045454545455
validation;mrmr;glm;ensemble.1.1;2;0.405;0.0536585365853659
