data_set;fs_method;learner;ensemble_model_name;positive_class;type;value;ci_low;ci_up;p_value
development;mrmr;xgboost_tree;ensemble.1.1;0;offset;-0.0994204141468637;-129.372761103191;-0.000524166987133016;1.10013508328889e-15
development;mrmr;xgboost_tree;ensemble.1.1;0;slope;1.22899976640912;1.00113545026277;388.996301835175;1.07090327983408e-15
development;mrmr;xgboost_tree;ensemble.1.1;1;offset;-0.0574347808295286;-107.564877034466;0.0107786761488675;9.38117424926043e-12
development;mrmr;xgboost_tree;ensemble.1.1;1;slope;1.12776175459427;0.932678501325143;323.462512004937;7.61477841984819e-12
development;mrmr;xgboost_tree;ensemble.1.1;2;offset;-0.0831533878209018;-465.759460386771;-0.00045861899243383;1.1134197044715e-06
development;mrmr;xgboost_tree;ensemble.1.1;2;slope;1.61911846012494;0.87368697014153;1401.61196433472;1.60531589176068e-06
validation;mrmr;xgboost_tree;ensemble.1.1;0;offset;-0.0997016765032581;-129.372761103192;-0.000524166987133021;1.11067649706299e-15
validation;mrmr;xgboost_tree;ensemble.1.1;0;slope;1.23454154136055;1.00113545026277;388.99630183518;1.10803179293977e-15
validation;mrmr;xgboost_tree;ensemble.1.1;1;offset;-0.0661663758335911;-117.525784499351;0.0282294669988623;3.89874972758354e-05
validation;mrmr;xgboost_tree;ensemble.1.1;1;slope;1.1837065255335;0.824654582080226;353.402762646145;1.5536901598833e-05
validation;mrmr;xgboost_tree;ensemble.1.1;2;offset;-0.0567016129186123;-529.960692649509;0.0307062746530901;3.99999999910263e-13
validation;mrmr;xgboost_tree;ensemble.1.1;2;slope;1.51665923106975;0.299359767805897;1594.7701308596;1.9999999997737e-13
